speech_id,transcript_id,date,year,month,speaker,party,concept_slug,concept,concept_category,mention_count,beme_positive_hits,beme_negative_hits,salience_weight,beme_score,beme_label
term_23_speech_000001,19943,2007-08-09,2007,8,Kamer Genç,Cumhuriyet Halk Partisi,law_state,Hukuk Devleti,democratic_reform,1,0,0,1.0,0.0,mixed
term_23_speech_000001,19943,2007-08-09,2007,8,Kamer Genç,Cumhuriyet Halk Partisi,constitution,Anayasa,constitutional_conflict,11,0,0,11.0,0.0,mixed
term_23_speech_000007,19945,2007-08-10,2007,8,Kamer Genç,Cumhuriyet Halk Partisi,law_state,Hukuk Devleti,democratic_reform,1,0,0,1.0,0.0,mixed
term_23_speech_000007,19945,2007-08-10,2007,8,Kamer Genç,Cumhuriyet Halk Partisi,constitution,Anayasa,constitutional_conflict,20,0,0,20.0,0.0,mixed
term_23_speech_000008,19945,2007-08-10,2007,8,Kamer Genç,Cumhuriyet Halk Partisi,law_state,Hukuk Devleti,democratic_reform,1,0,0,1.0,0.0,mixed
term_23_speech_000009,19945,2007-08-10,2007,8,Kamer Genç,Cumhuriyet Halk Partisi,law_state,Hukuk Devleti,democratic_reform,3,0,1,3.35,-0.5,negative
term_23_speech_000009,19945,2007-08-10,2007,8,Kamer Genç,Cumhuriyet Halk Partisi,constitution,Anayasa,constitutional_conflict,1,0,0,1.0,0.0,mixed
term_23_speech_000011,19945,2007-08-10,2007,8,Sadullah Ergin,Adalet ve Kalkınma Partisi,constitution,Anayasa,constitutional_conflict,2,1,0,2.35,0.5,positive
term_23_speech_000017,19945,2007-08-10,2007,8,Kamer Genç,Cumhuriyet Halk Partisi,law_state,Hukuk Devleti,democratic_reform,3,0,0,3.0,0.0,mixed
term_23_speech_000017,19945,2007-08-10,2007,8,Kamer Genç,Cumhuriyet Halk Partisi,constitution,Anayasa,constitutional_conflict,16,0,0,16.0,0.0,mixed
term_23_speech_000018,19945,2007-08-10,2007,8,Kamer Genç,Cumhuriyet Halk Partisi,law_state,Hukuk Devleti,democratic_reform,5,1,0,5.35,0.5,positive
term_23_speech_000018,19945,2007-08-10,2007,8,Kamer Genç,Cumhuriyet Halk Partisi,constitution,Anayasa,constitutional_conflict,19,0,0,19.0,0.0,mixed
term_23_speech_000020,19945,2007-08-10,2007,8,Kamer Genç,Cumhuriyet Halk Partisi,constitution,Anayasa,constitutional_conflict,1,0,0,1.0,0.0,mixed
term_23_speech_000021,19945,2007-08-10,2007,8,Sadullah Ergin,Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,4,0,0,4.0,0.0,mixed
term_23_speech_000021,19945,2007-08-10,2007,8,Sadullah Ergin,Adalet ve Kalkınma Partisi,constitution,Anayasa,constitutional_conflict,12,0,0,12.0,0.0,mixed
term_23_speech_000023,19945,2007-08-10,2007,8,Hasip Kaplan,Bağımsız,democracy,Demokrasi,democratic_reform,1,0,0,1.0,0.0,mixed
term_23_speech_000023,19945,2007-08-10,2007,8,Hasip Kaplan,Bağımsız,law_state,Hukuk Devleti,democratic_reform,7,2,0,7.7,0.6667,positive
term_23_speech_000023,19945,2007-08-10,2007,8,Hasip Kaplan,Bağımsız,sovereignty,Egemenlik,security_conflict,1,0,0,1.0,0.0,mixed
term_23_speech_000023,19945,2007-08-10,2007,8,Hasip Kaplan,Bağımsız,constitution,Anayasa,constitutional_conflict,4,2,0,4.7,0.6667,positive
term_23_speech_000024,19961,2007-10-01,2007,10,Abdullah Gül,Adalet ve Kalkınma Partisi,democracy,Demokrasi,democratic_reform,18,16,3,24.65,0.65,positive
term_23_speech_000024,19961,2007-10-01,2007,10,Abdullah Gül,Adalet ve Kalkınma Partisi,reform,Reform,democratic_reform,8,0,0,8.0,0.0,mixed
term_23_speech_000024,19961,2007-10-01,2007,10,Abdullah Gül,Adalet ve Kalkınma Partisi,european_union,Avrupa Birligi,democratic_reform,4,2,0,4.7,0.6667,positive
term_23_speech_000024,19961,2007-10-01,2007,10,Abdullah Gül,Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,6,4,1,7.75,0.5,positive
term_23_speech_000024,19961,2007-10-01,2007,10,Abdullah Gül,Adalet ve Kalkınma Partisi,economy,Ekonomi,macro_economy,38,30,10,52.0,0.4878,positive
term_23_speech_000024,19961,2007-10-01,2007,10,Abdullah Gül,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,21,9,15,29.4,-0.24,negative
term_23_speech_000024,19961,2007-10-01,2007,10,Abdullah Gül,Adalet ve Kalkınma Partisi,constitution,Anayasa,constitutional_conflict,12,8,0,14.8,0.8889,positive
