speech_id,transcript_id,date,year,month,speaker,party,concept_slug,concept,concept_category,mention_count,beme_positive_hits,beme_negative_hits,salience_weight,beme_score,beme_label
term_26_speech_000002,22475,2015-12-08,2015,12,Gülser Yıldırım,Halkların Demokratik Partisi,law_state,Hukuk Devleti,democratic_reform,1,0,0,1.0,0.0,mixed
term_26_speech_000008,22475,2015-12-08,2015,12,Oktay Vural,Milliyetçi Hareket Partisi,constitution,Anayasa,constitutional_conflict,1,0,0,1.0,0.0,mixed
term_26_speech_000009,22475,2015-12-08,2015,12,Oktay Vural,Milliyetçi Hareket Partisi,law_state,Hukuk Devleti,democratic_reform,1,0,0,1.0,0.0,mixed
term_26_speech_000009,22475,2015-12-08,2015,12,Oktay Vural,Milliyetçi Hareket Partisi,constitution,Anayasa,constitutional_conflict,2,0,1,2.35,-0.5,negative
term_26_speech_000010,22475,2015-12-08,2015,12,Engin Altay,Cumhuriyet Halk Partisi,law_state,Hukuk Devleti,democratic_reform,1,1,0,1.35,0.5,positive
term_26_speech_000010,22475,2015-12-08,2015,12,Engin Altay,Cumhuriyet Halk Partisi,constitution,Anayasa,constitutional_conflict,1,1,0,1.35,0.5,positive
term_26_speech_000012,22475,2015-12-08,2015,12,İdris Baluken,Halkların Demokratik Partisi,law_state,Hukuk Devleti,democratic_reform,3,2,1,4.05,0.25,positive
term_26_speech_000012,22475,2015-12-08,2015,12,İdris Baluken,Halkların Demokratik Partisi,tutelage,Vesayet,constitutional_conflict,2,0,2,2.7,-0.6667,negative
term_26_speech_000014,22475,2015-12-08,2015,12,Naci Bostancı,Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,9,0,0,9.0,0.0,mixed
term_26_speech_000014,22475,2015-12-08,2015,12,Naci Bostancı,Adalet ve Kalkınma Partisi,constitution,Anayasa,constitutional_conflict,1,0,0,1.0,0.0,mixed
term_26_speech_000017,22475,2015-12-08,2015,12,Özgür Özel,Cumhuriyet Halk Partisi,european_union,Avrupa Birligi,democratic_reform,1,1,0,1.35,0.5,positive
term_26_speech_000017,22475,2015-12-08,2015,12,Özgür Özel,Cumhuriyet Halk Partisi,economy,Ekonomi,macro_economy,3,1,0,3.35,0.5,positive
term_26_speech_000020,22475,2015-12-08,2015,12,Ayşe Acar Başaran,Halkların Demokratik Partisi,law_state,Hukuk Devleti,democratic_reform,1,0,0,1.0,0.0,mixed
term_26_speech_000022,22475,2015-12-08,2015,12,Ayşe Acar Başaran,Halkların Demokratik Partisi,security,Guvenlik,security_conflict,1,0,0,1.0,0.0,mixed
term_26_speech_000035,22475,2015-12-08,2015,12,Ayşe Acar Başaran,Halkların Demokratik Partisi,security,Guvenlik,security_conflict,1,1,1,1.7,0.0,mixed
term_26_speech_000042,22475,2015-12-08,2015,12,Ayşe Acar Başaran,Halkların Demokratik Partisi,law_state,Hukuk Devleti,democratic_reform,1,0,2,1.7,-0.6667,negative
