speech_id,transcript_id,date,year,month,speaker,party,concept_slug,concept,concept_category,mention_count,beme_positive_hits,beme_negative_hits,salience_weight,beme_score,beme_label
term_25_speech_000000,22431,2015-07-01,2015,7,İsmet Yılmaz,Adalet ve Kalkınma Partisi,democracy,Demokrasi,democratic_reform,7,4,2,9.1,0.2857,positive
term_25_speech_000000,22431,2015-07-01,2015,7,İsmet Yılmaz,Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,5,6,2,7.8,0.4444,positive
term_25_speech_000000,22431,2015-07-01,2015,7,İsmet Yılmaz,Adalet ve Kalkınma Partisi,economy,Ekonomi,macro_economy,4,8,2,7.5,0.5455,positive
term_25_speech_000000,22431,2015-07-01,2015,7,İsmet Yılmaz,Adalet ve Kalkınma Partisi,constitution,Anayasa,constitutional_conflict,11,6,2,13.8,0.4444,positive
term_25_speech_000004,22438,2015-07-08,2015,7,Mahmut Tanal,Cumhuriyet Halk Partisi,law_state,Hukuk Devleti,democratic_reform,1,0,0,1.0,0.0,mixed
term_25_speech_000009,22438,2015-07-08,2015,7,Mahmut Tanal,Cumhuriyet Halk Partisi,constitution,Anayasa,constitutional_conflict,1,0,0,1.0,0.0,mixed
term_25_speech_000011,22438,2015-07-08,2015,7,Mahmut Tanal,Cumhuriyet Halk Partisi,constitution,Anayasa,constitutional_conflict,1,0,0,1.0,0.0,mixed
term_25_speech_000013,22438,2015-07-08,2015,7,Yıldırım Tuğrul Türkeş,Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,1,0,0,1.0,0.0,mixed
term_25_speech_000013,22438,2015-07-08,2015,7,Yıldırım Tuğrul Türkeş,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,12,3,10,16.55,-0.5,negative
term_25_speech_000014,22438,2015-07-08,2015,7,Murat Özçelik,Adalet ve Kalkınma Partisi,democracy,Demokrasi,democratic_reform,9,10,1,12.85,0.75,positive
term_25_speech_000014,22438,2015-07-08,2015,7,Murat Özçelik,Adalet ve Kalkınma Partisi,reform,Reform,democratic_reform,1,0,0,1.0,0.0,mixed
term_25_speech_000014,22438,2015-07-08,2015,7,Murat Özçelik,Adalet ve Kalkınma Partisi,european_union,Avrupa Birligi,democratic_reform,11,16,3,17.65,0.65,positive
term_25_speech_000014,22438,2015-07-08,2015,7,Murat Özçelik,Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,3,4,2,5.1,0.2857,positive
term_25_speech_000014,22438,2015-07-08,2015,7,Murat Özçelik,Adalet ve Kalkınma Partisi,economy,Ekonomi,macro_economy,14,18,1,20.65,0.85,positive
term_25_speech_000014,22438,2015-07-08,2015,7,Murat Özçelik,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,20,8,3,23.85,0.4167,positive
term_25_speech_000014,22438,2015-07-08,2015,7,Murat Özçelik,Adalet ve Kalkınma Partisi,constitution,Anayasa,constitutional_conflict,1,0,0,1.0,0.0,mixed
term_25_speech_000015,22438,2015-07-08,2015,7,Sırrı Süreyya Önder,Halkların Demokratik Partisi,democracy,Demokrasi,democratic_reform,5,1,0,5.35,0.5,positive
term_25_speech_000015,22438,2015-07-08,2015,7,Sırrı Süreyya Önder,Halkların Demokratik Partisi,economy,Ekonomi,macro_economy,2,2,2,3.4,0.0,mixed
term_25_speech_000017,22438,2015-07-08,2015,7,Sırrı Süreyya Önder,Halkların Demokratik Partisi,democracy,Demokrasi,democratic_reform,4,1,1,4.7,0.0,mixed
term_25_speech_000017,22438,2015-07-08,2015,7,Sırrı Süreyya Önder,Halkların Demokratik Partisi,security,Guvenlik,security_conflict,1,0,1,1.35,-0.5,negative
term_25_speech_000021,22438,2015-07-08,2015,7,Mehmet Şeker,Cumhuriyet Halk Partisi,security,Guvenlik,security_conflict,7,6,9,12.25,-0.1875,mixed
term_25_speech_000022,22438,2015-07-08,2015,7,Şirin Ünal,Adalet ve Kalkınma Partisi,economy,Ekonomi,macro_economy,13,25,5,23.5,0.6452,positive
term_25_speech_000022,22438,2015-07-08,2015,7,Şirin Ünal,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,7,6,3,10.15,0.3,positive
term_25_speech_000023,22438,2015-07-08,2015,7,Mahmut Tanal,Cumhuriyet Halk Partisi,constitution,Anayasa,constitutional_conflict,2,0,0,2.0,0.0,mixed
term_25_speech_000024,22438,2015-07-08,2015,7,İdris Baluken,Halkların Demokratik Partisi,democracy,Demokrasi,democratic_reform,3,0,0,3.0,0.0,mixed
term_25_speech_000025,22438,2015-07-08,2015,7,İdris Baluken,Halkların Demokratik Partisi,law_state,Hukuk Devleti,democratic_reform,1,0,1,1.35,-0.5,negative
term_25_speech_000026,22438,2015-07-08,2015,7,İdris Baluken,Halkların Demokratik Partisi,law_state,Hukuk Devleti,democratic_reform,1,0,1,1.35,-0.5,negative
term_25_speech_000027,22438,2015-07-08,2015,7,İdris Baluken,Halkların Demokratik Partisi,law_state,Hukuk Devleti,democratic_reform,1,0,1,1.35,-0.5,negative
term_25_speech_000029,22438,2015-07-08,2015,7,Levent Gök,Cumhuriyet Halk Partisi,law_state,Hukuk Devleti,democratic_reform,4,1,0,4.35,0.5,positive
term_25_speech_000033,22438,2015-07-08,2015,7,Oktay Vural,Milliyetçi Hareket Partisi,democracy,Demokrasi,democratic_reform,2,0,1,2.35,-0.5,negative
term_25_speech_000033,22438,2015-07-08,2015,7,Oktay Vural,Milliyetçi Hareket Partisi,law_state,Hukuk Devleti,democratic_reform,1,0,0,1.0,0.0,mixed
term_25_speech_000033,22438,2015-07-08,2015,7,Oktay Vural,Milliyetçi Hareket Partisi,constitution,Anayasa,constitutional_conflict,1,0,0,1.0,0.0,mixed
term_25_speech_000035,22439,2015-07-09,2015,7,Oktay Vural,Milliyetçi Hareket Partisi,security,Guvenlik,security_conflict,1,0,0,1.0,0.0,mixed
term_25_speech_000036,22439,2015-07-09,2015,7,Ahmet Aydın,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,2,0,1,2.35,-0.5,negative
term_25_speech_000037,22439,2015-07-09,2015,7,Pervin Buldan,Halkların Demokratik Partisi,democracy,Demokrasi,democratic_reform,1,0,0,1.0,0.0,mixed
term_25_speech_000040,22439,2015-07-09,2015,7,Mahmut Tanal,Cumhuriyet Halk Partisi,constitution,Anayasa,constitutional_conflict,1,0,0,1.0,0.0,mixed
term_25_speech_000041,22439,2015-07-09,2015,7,Uğur Bayraktutan,Cumhuriyet Halk Partisi,law_state,Hukuk Devleti,democratic_reform,1,0,0,1.0,0.0,mixed
term_25_speech_000048,22439,2015-07-09,2015,7,Musa Çam,Cumhuriyet Halk Partisi,law_state,Hukuk Devleti,democratic_reform,1,0,0,1.0,0.0,mixed
term_25_speech_000070,22441,2015-07-14,2015,7,Engin Altay,Adalet ve Kalkınma Partisi,democracy,Demokrasi,democratic_reform,1,1,0,1.35,0.5,positive
term_25_speech_000070,22441,2015-07-14,2015,7,Engin Altay,Adalet ve Kalkınma Partisi,constitution,Anayasa,constitutional_conflict,3,0,0,3.0,0.0,mixed
term_25_speech_000071,22441,2015-07-14,2015,7,İdris Baluken,Halkların Demokratik Partisi,democracy,Demokrasi,democratic_reform,3,1,0,3.35,0.5,positive
term_25_speech_000071,22441,2015-07-14,2015,7,İdris Baluken,Halkların Demokratik Partisi,law_state,Hukuk Devleti,democratic_reform,1,0,0,1.0,0.0,mixed
term_25_speech_000071,22441,2015-07-14,2015,7,İdris Baluken,Halkların Demokratik Partisi,constitution,Anayasa,constitutional_conflict,6,0,0,6.0,0.0,mixed
term_25_speech_000073,22441,2015-07-14,2015,7,Mehmet Doğan Kubat,Adalet ve Kalkınma Partisi,democracy,Demokrasi,democratic_reform,1,0,0,1.0,0.0,mixed
term_25_speech_000073,22441,2015-07-14,2015,7,Mehmet Doğan Kubat,Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,3,0,0,3.0,0.0,mixed
